#aQGC_ParName	ParaValue	Cross-section
FS0	-900	1.37035
FS0	-880	1.31064
FS0	-860	1.25226
FS0	-840	1.19522
FS0	-820	1.13953
FS0	-800	1.08517
FS0	-780	1.03216
FS0	-760	0.980491
FS0	-740	0.930161
FS0	-720	0.881172
FS0	-700	0.833524
FS0	-680	0.787217
FS0	-660	0.742251
FS0	-640	0.698627
FS0	-620	0.656343
FS0	-600	0.615401
FS0	-580	0.5758
FS0	-560	0.53754
FS0	-540	0.500622
FS0	-520	0.465044
FS0	-500	0.430808
FS0	-480	0.397913
FS0	-460	0.366359
FS0	-440	0.336146
FS0	-420	0.307274
FS0	-400	0.279743
FS0	-380	0.253554
FS0	-360	0.228705
FS0	-340	0.205198
FS0	-320	0.183032
FS0	-300	0.162207
FS0	-280	0.142724
FS0	-260	0.124581
FS0	-240	0.10778
FS0	-220	0.0923193
FS0	-200	0.0782002
FS0	-180	0.0654222
FS0	-160	0.0539854
FS0	-140	0.0438898
FS0	-120	0.0351352
FS0	-100	0.0277219
FS0	-80	0.0216497
FS0	-60	0.0169186
FS0	-40	0.0135287
FS0	-20	0.01148
FS0	0	0.0107724
FS0	20	0.011406
FS0	40	0.0133807
FS0	60	0.0166965
FS0	80	0.0213535
FS0	100	0.0273517
FS0	120	0.034691
FS0	140	0.0433715
FS0	160	0.0533931
FS0	180	0.0647559
FS0	200	0.0774598
FS0	220	0.0915049
FS0	240	0.106891
FS0	260	0.123618
FS0	280	0.141687
FS0	300	0.161097
FS0	320	0.181848
FS0	340	0.20394
FS0	360	0.227373
FS0	380	0.252147
FS0	400	0.278262
FS0	420	0.305719
FS0	440	0.334517
FS0	460	0.364656
FS0	480	0.396136
FS0	500	0.428957
FS0	520	0.463119
FS0	540	0.498623
FS0	560	0.535467
FS0	580	0.573653
FS0	600	0.61318
FS0	620	0.654048
FS0	640	0.696258
FS0	660	0.739808
FS0	680	0.7847
FS0	700	0.830932
FS0	720	0.878506
FS0	740	0.927421
FS0	760	0.977677
FS0	780	1.02927
FS0	800	1.08221
FS0	820	1.13649
FS0	840	1.19211
FS0	860	1.24908
FS0	880	1.30738
FS0	900	1.36702
FS1	-330	0.102148
FS1	-320	0.0967016
FS1	-310	0.0914225
FS1	-300	0.0863108
FS1	-290	0.0813664
FS1	-280	0.0765893
