#aQGC_ParName	ParaValue	Cross-section
FS0	-900	5.84613
FS0	-880	5.58987
FS0	-860	5.33936
FS0	-840	5.09462
FS0	-820	4.85563
FS0	-800	4.62239
FS0	-780	4.39492
FS0	-760	4.1732
FS0	-740	3.95724
FS0	-720	3.74704
FS0	-700	3.5426
FS0	-680	3.34391
FS0	-660	3.15098
FS0	-640	2.96381
FS0	-620	2.7824
FS0	-600	2.60674
FS0	-580	2.43685
FS0	-560	2.27271
FS0	-540	2.11432
FS0	-520	1.9617
FS0	-500	1.81483
FS0	-480	1.67372
FS0	-460	1.53837
FS0	-440	1.40878
FS0	-420	1.28494
FS0	-400	1.16686
FS0	-380	1.05454
FS0	-360	0.947977
FS0	-340	0.847171
FS0	-320	0.752123
FS0	-300	0.662833
FS0	-280	0.5793
FS0	-260	0.501525
FS0	-240	0.429508
FS0	-220	0.363248
FS0	-200	0.302746
FS0	-180	0.248001
FS0	-160	0.199015
FS0	-140	0.155786
FS0	-120	0.118314
FS0	-100	0.0866004
FS0	-80	0.0606444
FS0	-60	0.040446
FS0	-40	0.0260052
FS0	-20	0.0173222
FS0	0	0.0143968
FS0	20	0.0172291
FS0	40	0.025819
FS0	60	0.0401666
FS0	80	0.0602719
FS0	100	0.0861348
FS0	120	0.117755
FS0	140	0.155134
FS0	160	0.19827
FS0	180	0.247163
FS0	200	0.301815
FS0	220	0.362224
FS0	240	0.42839
FS0	260	0.500314
FS0	280	0.577996
FS0	300	0.661436
FS0	320	0.750633
FS0	340	0.845588
FS0	360	0.946301
FS0	380	1.05277
FS0	400	1.165
FS0	420	1.28298
FS0	440	1.40673
FS0	460	1.53623
FS0	480	1.67149
FS0	500	1.8125
FS0	520	1.95928
FS0	540	2.11181
FS0	560	2.2701
FS0	580	2.43415
FS0	600	2.60395
FS0	620	2.77951
FS0	640	2.96083
FS0	660	3.14791
FS0	680	3.34075
FS0	700	3.53934
FS0	720	3.74369
FS0	740	3.9538
FS0	760	4.16966
FS0	780	4.39129
FS0	800	4.61867
FS0	820	4.85181
FS0	840	5.0907
FS0	860	5.33536
FS0	880	5.58577
FS0	900	5.84194
FS1	-330	1.40404
FS1	-320	1.3211
FS1	-310	1.2407
FS1	-300	1.16287
FS1	-290	1.08758
FS1	-280	1.01484
FS1	-270	0.944659
FS1	-260	0.877027
FS1	-250	0.811948
FS1	-240	0.749421
FS1	-230	0.689446
FS1	-220	0.632023
