#aQGC_ParName	ParaValue	Cross-section
FS0	-900	14.8073
FS0	-880	14.1583
FS0	-860	13.524
FS0	-840	12.9042
FS0	-820	12.299
FS0	-800	11.7083
FS0	-780	11.1323
FS0	-760	10.5708
FS0	-740	10.0238
FS0	-720	9.49148
FS0	-700	8.9737
FS0	-680	8.47049
FS0	-660	7.98186
FS0	-640	7.50779
FS0	-620	7.0483
FS0	-600	6.60338
FS0	-580	6.17303
FS0	-560	5.75726
FS0	-540	5.35605
FS0	-520	4.96942
FS0	-500	4.59736
FS0	-480	4.23988
FS0	-460	3.89696
FS0	-440	3.56862
FS0	-420	3.25485
FS0	-400	2.95565
FS0	-380	2.67102
FS0	-360	2.40097
FS0	-340	2.14549
FS0	-320	1.90458
FS0	-300	1.67824
FS0	-280	1.46647
FS0	-260	1.26928
FS0	-240	1.08666
FS0	-220	0.918609
FS0	-200	0.765132
FS0	-180	0.626227
FS0	-160	0.501894
FS0	-140	0.392134
FS0	-120	0.296945
FS0	-100	0.216328
FS0	-80	0.150284
FS0	-60	0.0988119
FS0	-40	0.0619118
FS0	-20	0.0395839
FS0	0	0.0318281
FS0	20	0.0386444
FS0	40	0.0600329
FS0	60	0.0959935
FS0	80	0.146526
FS0	100	0.211631
FS0	120	0.291308
FS0	140	0.385557
FS0	160	0.494378
FS0	180	0.617772
FS0	200	0.755737
FS0	220	0.908275
FS0	240	1.07538
FS0	260	1.25707
FS0	280	1.45332
FS0	300	1.66415
FS0	320	1.88955
FS0	340	2.12952
FS0	360	2.38406
FS0	380	2.65317
FS0	400	2.93686
FS0	420	3.23512
FS0	440	3.54795
FS0	460	3.87535
FS0	480	4.21733
FS0	500	4.57388
FS0	520	4.945
FS0	540	5.33069
FS0	560	5.73095
FS0	580	6.14579
FS0	600	6.5752
FS0	620	7.01918
FS0	640	7.47773
FS0	660	7.95085
FS0	680	8.43855
FS0	700	8.94082
FS0	720	9.45766
FS0	740	9.98907
FS0	760	10.5351
FS0	780	11.0956
FS0	800	11.6707
FS0	820	12.2604
FS0	840	12.8647
FS0	860	13.4836
FS0	880	14.117
FS0	900	14.765
FS1	-330	0.267307
FS1	-320	0.253322
FS1	-310	0.239765
FS1	-300	0.226636
FS1	-290	0.213936
FS1	-280	0.201663
FS1	-270	0.189818
FS1	-260	0.178402
FS1	-250	0.167414
FS1	-240	0.156853
FS1	-230	0.146721
FS1	-220	0.137017
FS1	-210	0.127741
FS1	-200	0.118893
FS1	-190	0.110473
FS1	-180	0.102481
FS1	-170	0.0949171
FS1	-160	0.0877814
FS1	-150	0.0810737
FS1	-140	0.0747942
FS1	-130	0.0689427
FS1	-120	0.0635192
FS1	-110	0.0585239
FS1	-100	0.0539566
FS1	-90	0.0498174
FS1	-80	0.0461063
FS1	-70	0.0428233
FS1	-60	0.0399683
FS1	-50	0.0375414
FS1	-40	0.0355426
FS1	-30	0.0339718
FS1	-20	0.0328292
FS1	-10	0.0321146
FS1	0	0.0318281
FS1	10	0.0319696
FS1	20	0.0325393
FS1	30	0.033537
FS1	40	0.0349627
FS1	50	0.0368166
FS1	60	0.0390985
FS1	70	0.0418086
FS1	80	0.0449466
FS1	90	0.0485128
FS1	100	0.052507
FS1	110	0.0569294
FS1	120	0.0617797
FS1	130	0.0670582
FS1	140	0.0727647
FS1	150	0.0788994
FS1	160	0.085462
FS1	170	0.0924528
FS1	180	0.0998716
FS1	190	0.107719
FS1	200	0.115994
FS1	210	0.124697
FS1	220	0.133828
FS1	230	0.143387
FS1	240	0.153374
FS1	250	0.16379
FS1	260	0.174633
FS1	270	0.185905
FS1	280	0.197604
FS1	290	0.209732
FS1	300	0.222288
FS1	310	0.235271
FS1	320	0.248683
FS1	330	0.262523
FM0	-42	0.0914892
FM0	-41	0.0886545
FM0	-40	0.0858887
FM0	-39	0.0831919
FM0	-38	0.0805641
FM0	-37	0.0780053
FM0	-36	0.0755154
FM0	-35	0.0730946
FM0	-34	0.0707427
FM0	-33	0.0684599
FM0	-32	0.066246
FM0	-31	0.0641011
FM0	-30	0.0620252
FM0	-29	0.0600183
FM0	-28	0.0580804
FM0	-27	0.0562115
