#aQGC_ParName	ParaValue	Cross-section
FS0	-900	3.90396
FS0	-880	3.734
FS0	-860	3.56787
FS0	-840	3.40555
FS0	-820	3.24705
FS0	-800	3.09237
FS0	-780	2.9415
FS0	-760	2.79445
FS0	-740	2.65121
FS0	-720	2.5118
FS0	-700	2.3762
FS0	-680	2.24441
FS0	-660	2.11645
FS0	-640	1.9923
FS0	-620	1.87196
FS0	-600	1.75545
FS0	-580	1.64275
FS0	-560	1.53386
FS0	-540	1.4288
FS0	-520	1.32755
FS0	-500	1.23012
FS0	-480	1.1365
FS0	-460	1.0467
FS0	-440	0.960722
FS0	-420	0.878557
FS0	-400	0.800209
FS0	-380	0.725678
FS0	-360	0.654963
FS0	-340	0.588066
FS0	-320	0.524985
FS0	-300	0.465721
FS0	-280	0.410274
FS0	-260	0.358643
FS0	-240	0.31083
FS0	-220	0.266833
FS0	-200	0.226653
FS0	-180	0.19029
FS0	-160	0.157744
FS0	-140	0.129014
FS0	-120	0.104101
FS0	-100	0.0830056
FS0	-80	0.0657266
FS0	-60	0.0522644
FS0	-40	0.042619
FS0	-20	0.0367904
FS0	0	0.0347786
FS0	20	0.0365837
FS0	40	0.0422055
FS0	60	0.0516442
FS0	80	0.0648997
FS0	100	0.081972
FS0	120	0.102861
FS0	140	0.127567
FS0	160	0.15609
FS0	180	0.188429
FS0	200	0.224586
FS0	220	0.264559
FS0	240	0.308349
FS0	260	0.355956
FS0	280	0.40738
FS0	300	0.46262
FS0	320	0.521677
FS0	340	0.584552
FS0	360	0.651242
FS0	380	0.72175
FS0	400	0.796075
FS0	420	0.874216
FS0	440	0.956174
FS0	460	1.04195
FS0	480	1.13154
FS0	500	1.22495
FS0	520	1.32218
FS0	540	1.42322
FS0	560	1.52808
FS0	580	1.63675
FS0	600	1.74925
FS0	620	1.86555
FS0	640	1.98568
FS0	660	2.10962
FS0	680	2.23738
FS0	700	2.36896
FS0	720	2.50435
FS0	740	2.64357
FS0	760	2.78659
FS0	780	2.93344
FS0	800	3.0841
FS0	820	3.23858
FS0	840	3.39687
FS0	860	3.55898
FS0	880	3.72491
FS0	900	3.89465
FS1	-330	0.340937
FS1	-320	0.322688
FS1	-310	0.304999
FS1	-300	0.287871
FS1	-290	0.271304
FS1	-280	0.255297
FS1	-270	0.239851
FS1	-260	0.224966
FS1	-250	0.210642
FS1	-240	0.196878
FS1	-230	0.183676
FS1	-220	0.171034
FS1	-210	0.158952
FS1	-200	0.147432
FS1	-190	0.136472
FS1	-180	0.126073
FS1	-170	0.116235
FS1	-160	0.106957
FS1	-150	0.0982402
FS1	-140	0.0900842
FS1	-130	0.0824889
FS1	-120	0.0754544
FS1	-110	0.0689806
FS1	-100	0.0630676
FS1	-90	0.0577153
FS1	-80	0.0529237
FS1	-70	0.048693
FS1	-60	0.045023
FS1	-50	0.0419137
FS1	-40	0.0393652
FS1	-30	0.0373774
FS1	-20	0.0359504
FS1	-10	0.0350841
FS1	0	0.0347786
FS1	10	0.0350339
FS1	20	0.0358499
FS1	30	0.0372266
FS1	40	0.0391641
FS1	50	0.0416624
FS1	60	0.0447214
FS1	70	0.0483411
FS1	80	0.0525216
FS1	90	0.0572629
FS1	100	0.0625649
FS1	110	0.0684276
FS1	120	0.0748512
FS1	130	0.0818354
FS1	140	0.0893804
FS1	150	0.0974862
FS1	160	0.106153
FS1	170	0.11538
FS1	180	0.125168
FS1	190	0.135517
FS1	200	0.146426
FS1	210	0.157897
FS1	220	0.169928
FS1	230	0.182519
FS1	240	0.195672
FS1	250	0.209385
FS1	260	0.223659
FS1	270	0.238494
FS1	280	0.25389
FS1	290	0.269846
FS1	300	0.286363
FS1	310	0.303441
FS1	320	0.321079
FS1	330	0.339279
FM0	-42	0.130272
FM0	-41	0.125755
FM0	-40	0.121348
FM0	-39	0.11705
FM0	-38	0.112862
FM0	-37	0.108783
FM0	-36	0.104814
FM0	-35	0.100954
FM0	-34	0.097203
FM0	-33	0.0935618
FM0	-32	0.09003
FM0	-31	0.0866076
FM0	-30	0.0832946
FM0	-29	0.080091
FM0	-28	0.0769968
FM0	-27	0.074012
FM0	-26	0.0711366
FM0	-25	0.0683706
FM0	-24	0.0657141
FM0	-23	0.0631669
FM0	-22	0.0607291
FM0	-21	0.0584008
FM0	-20	0.0561819
FM0	-19	0.0540723
FM0	-18	0.0520722
FM0	-17	0.0501815
FM0	-16	0.0484002
FM0	-15	0.0467283
FM0	-14	0.0451658
FM0	-13	0.0437127
FM0	-12	0.042369
FM0	-11	0.0411348
FM0	-10	0.0400099
FM0	-9	0.0389944
FM0	-8	0.0380884
FM0	-7	0.0372917
FM0	-6	0.0366045
FM0	-5	0.0360267
FM0	-4	0.0355582
FM0	-3	0.0351992
FM0	-2	0.0349496
FM0	-1	0.0348094
FM0	0	0.0347786
FM0	1	0.0348572
FM0	2	0.0350453
FM0	3	0.0353427
FM0	4	0.0357495
FM0	5	0.0362658
FM0	6	0.0368914
FM0	7	0.0376265
FM0	8	0.0384709
FM0	9	0.0394248
FM0	10	0.0404881
FM0	11	0.0416608
FM0	12	0.0429428
FM0	13	0.0443343
FM0	14	0.0458352
FM0	15	0.0474456
FM0	16	0.0491653
FM0	17	0.0509944
FM0	18	0.0529329
FM0	19	0.0549809
FM0	20	0.0571382
FM0	21	0.059405
FM0	22	0.0617811
FM0	23	0.0642667
FM0	24	0.0668617
FM0	25	0.0695661
FM0	26	0.0723799
FM0	27	0.0753031
FM0	28	0.0783357
FM0	29	0.0814777
FM0	30	0.0847291
FM0	31	0.0880899
FM0	32	0.0915602
FM0	33	0.0951398
FM0	34	0.0988288
FM0	35	0.102627
FM0	36	0.106535
FM0	37	0.110552
FM0	38	0.114679
FM0	39	0.118915
FM0	40	0.123261
FM0	41	0.127716
FM0	42	0.13228
FM1	-165	0.554674
FM1	-160	0.523717
FM1	-155	0.493711
FM1	-150	0.464654
FM1	-145	0.436548
FM1	-140	0.409392
FM1	-135	0.383186
FM1	-130	0.35793
FM1	-125	0.333624
FM1	-120	0.310268
FM1	-115	0.287863
FM1	-110	0.266408
FM1	-105	0.245902
FM1	-100	0.226347
FM1	-95	0.207743
