#aQGC_ParName	ParaValue	Cross-section
FS0	-900	16.3511
FS0	-880	15.6421
FS0	-860	14.9491
FS0	-840	14.272
FS0	-820	13.6108
FS0	-800	12.9655
FS0	-780	12.3362
FS0	-760	11.7228
FS0	-740	11.1254
FS0	-720	10.5439
FS0	-700	9.97834
FS0	-680	9.42872
FS0	-660	8.89503
FS0	-640	8.37727
FS0	-620	7.87546
FS0	-600	7.38957
FS0	-580	6.91963
FS0	-560	6.46562
FS0	-540	6.02755
FS0	-520	5.60542
FS0	-500	5.19922
FS0	-480	4.80895
FS0	-460	4.43463
FS0	-440	4.07624
FS0	-420	3.73379
FS0	-400	3.40727
FS0	-380	3.09669
FS0	-360	2.80205
FS0	-340	2.52334
FS0	-320	2.26057
FS0	-300	2.01374
FS0	-280	1.78284
FS0	-260	1.56788
FS0	-240	1.36886
FS0	-220	1.18577
FS0	-200	1.01862
FS0	-180	0.867402
FS0	-160	0.732123
FS0	-140	0.612782
FS0	-120	0.509376
FS0	-100	0.421907
FS0	-80	0.350375
FS0	-60	0.294779
FS0	-40	0.255119
FS0	-20	0.231397
FS0	0	0.22361
FS0	20	0.23176
FS0	40	0.255846
FS0	60	0.295869
FS0	80	0.351829
FS0	100	0.423725
FS0	120	0.511557
FS0	140	0.615326
FS0	160	0.735031
FS0	180	0.870673
FS0	200	1.02225
FS0	220	1.18977
FS0	240	1.37322
FS0	260	1.57261
FS0	280	1.78793
FS0	300	2.01919
FS0	320	2.26639
FS0	340	2.52952
FS0	360	2.80859
FS0	380	3.1036
FS0	400	3.41454
FS0	420	3.74142
FS0	440	4.08424
FS0	460	4.44299
FS0	480	4.81768
FS0	500	5.2083
FS0	520	5.61487
FS0	540	6.03736
FS0	560	6.4758
FS0	580	6.93017
FS0	600	7.40048
FS0	620	7.88672
FS0	640	8.3889
FS0	660	8.90702
FS0	680	9.44108
FS0	700	9.99107
FS0	720	10.557
FS0	740	11.1389
FS0	760	11.7367
FS0	780	12.3504
FS0	800	12.9801
FS0	820	13.6257
FS0	840	14.2872
FS0	860	14.9647
FS0	880	15.6581
FS0	900	16.3675
FS1	-330	5.68475
FS1	-320	5.35871
FS1	-310	5.04271
FS1	-300	4.73674
FS1	-290	4.44081
FS1	-280	4.15491
FS1	-270	3.87905
FS1	-260	3.61321
FS1	-250	3.35742
FS1	-240	3.11166
FS1	-230	2.87593
FS1	-220	2.65023
FS1	-210	2.43457
FS1	-200	2.22895
FS1	-190	2.03336
FS1	-180	1.8478
FS1	-170	1.67228
FS1	-160	1.50679
FS1	-150	1.35133
FS1	-140	1.20591
FS1	-130	1.07052
FS1	-120	0.945172
FS1	-110	0.829854
FS1	-100	0.72457
FS1	-90	0.62932
FS1	-80	0.544104
FS1	-70	0.468923
FS1	-60	0.403776
FS1	-50	0.348663
FS1	-40	0.303584
FS1	-30	0.268539
FS1	-20	0.243529
FS1	-10	0.228552
FS1	0	0.22361
FS1	10	0.228702
FS1	20	0.243828
FS1	30	0.268989
FS1	40	0.304183
FS1	50	0.349412
FS1	60	0.404675
FS1	70	0.469972
FS1	80	0.545303
FS1	90	0.630668
FS1	100	0.726068
FS1	110	0.831502
FS1	120	0.94697
FS1	130	1.07247
FS1	140	1.20801
FS1	150	1.35358
FS1	160	1.50918
FS1	170	1.67482
FS1	180	1.8505
FS1	190	2.0362
FS1	200	2.23194
FS1	210	2.43772
FS1	220	2.65353
FS1	230	2.87937
FS1	240	3.11525
FS1	250	3.36116
FS1	260	3.61711
FS1	270	3.88309
FS1	280	4.15911
FS1	290	4.44515
FS1	300	4.74124
FS1	310	5.04735
FS1	320	5.36351
FS1	330	5.68969
FM0	-42	5.39666
FM0	-41	5.15338
FM0	-40	4.91596
FM0	-39	4.6844
FM0	-38	4.4587
FM0	-37	4.23885
FM0	-36	4.02487
FM0	-35	3.81674
FM0	-34	3.61448
FM0	-33	3.41807
FM0	-32	3.22752
FM0	-31	3.04283
FM0	-30	2.864
FM0	-29	2.69103
FM0	-28	2.52392
FM0	-27	2.36267
FM0	-26	2.20728
FM0	-25	2.05774
FM0	-24	1.91407
FM0	-23	1.77625
FM0	-22	1.64429
FM0	-21	1.5182
FM0	-20	1.39796
FM0	-19	1.28358
FM0	-18	1.17506
FM0	-17	1.0724
FM0	-16	0.975596
FM0	-15	0.884654
FM0	-14	0.79957
FM0	-13	0.720346
FM0	-12	0.64698
FM0	-11	0.579474
FM0	-10	0.517827
FM0	-9	0.462039
FM0	-8	0.412111
FM0	-7	0.368041
FM0	-6	0.329831
FM0	-5	0.297479
FM0	-4	0.270987
FM0	-3	0.250354
FM0	-2	0.23558
FM0	-1	0.226666
FM0	0	0.22361
FM0	1	0.226414
FM0	2	0.235076
FM0	3	0.249598
FM0	4	0.269979
FM0	5	0.296219
FM0	6	0.328318
FM0	7	0.366277
FM0	8	0.410094
FM0	9	0.459771
FM0	10	0.515306
FM0	11	0.576701
FM0	12	0.643955
FM0	13	0.717069
FM0	14	0.796041
FM0	15	0.880872
FM0	16	0.971563
FM0	17	1.06811
FM0	18	1.17052
FM0	19	1.27879
FM0	20	1.39292
FM0	21	1.5129
FM0	22	1.63875
FM0	23	1.77045
FM0	24	1.90802
FM0	25	2.05144
FM0	26	2.20072
FM0	27	2.35586
FM0	28	2.51686
FM0	29	2.68372
FM0	30	2.85644
FM0	31	3.03502
FM0	32	3.21946
FM0	33	3.40975
FM0	34	3.60591
FM0	35	3.80792
FM0	36	4.01579
FM0	37	4.22953
FM0	38	4.44912
FM0	39	4.67457
FM0	40	4.90588
FM0	41	5.14305
FM0	42	5.38608
FM1	-165	6.07737
FM1	-160	5.72769
FM1	-155	5.38879
FM1	-150	5.06065
FM1	-145	4.74327
FM1	-140	4.43667
FM1	-135	4.14083
FM1	-130	3.85577
FM1	-125	3.58147
FM1	-120	3.31793
FM1	-115	3.06517
FM1	-110	2.82318
FM1	-105	2.59195
FM1	-100	2.37149
FM1	-95	2.1618
FM1	-90	1.96288
FM1	-85	1.77472
FM1	-80	1.59733
FM1	-75	1.43072
FM1	-70	1.27486
FM1	-65	1.12978
FM1	-60	0.995468
FM1	-55	0.871922
FM1	-50	0.759144
FM1	-45	0.657134
FM1	-40	0.565892
FM1	-35	0.485419
FM1	-30	0.415713
FM1	-25	0.356776
FM1	-20	0.308606
FM1	-15	0.271205
FM1	-10	0.244572
FM1	-5	0.228707
FM1	0	0.22361
FM1	5	0.229281
FM1	10	0.245721
FM1	15	0.272928
FM1	20	0.310903
FM1	25	0.359647
FM1	30	0.419159
FM1	35	0.489439
FM1	40	0.570487
FM1	45	0.662303
FM1	50	0.764887
FM1	55	0.878239
FM1	60	1.00236
FM1	65	1.13725
FM1	70	1.2829
FM1	75	1.43933
FM1	80	1.60652
FM1	85	1.78448
FM1	90	1.97321
FM1	95	2.17271
FM1	100	2.38297
FM1	105	2.60401
FM1	110	2.83581
FM1	115	3.07838
FM1	120	3.33172
FM1	125	3.59582
FM1	130	3.8707
FM1	135	4.15634
FM1	140	4.45275
FM1	145	4.75993
FM1	150	5.07787
FM1	155	5.40659
FM1	160	5.74607
FM1	165	6.09632
FM6	-84	5.39666
FM6	-82	5.15338
FM6	-80	4.91596
FM6	-78	4.6844
FM6	-76	4.4587
FM6	-74	4.23885
FM6	-72	4.02487
FM6	-70	3.81674
FM6	-68	3.61448
FM6	-66	3.41807
FM6	-64	3.22752
FM6	-62	3.04283
FM6	-60	2.864
FM6	-58	2.69103
FM6	-56	2.52392
FM6	-54	2.36267
FM6	-52	2.20728
FM6	-50	2.05774
FM6	-48	1.91407
FM6	-46	1.77625
FM6	-44	1.64429
FM6	-42	1.5182
FM6	-40	1.39796
FM6	-38	1.28358
FM6	-36	1.17506
FM6	-34	1.0724
FM6	-32	0.975596
FM6	-30	0.884654
FM6	-28	0.79957
FM6	-26	0.720346
FM6	-24	0.64698
FM6	-22	0.579474
FM6	-20	0.517827
FM6	-18	0.462039
FM6	-16	0.412111
FM6	-14	0.368041
FM6	-12	0.329831
FM6	-10	0.297479
FM6	-8	0.270987
FM6	-6	0.250354
FM6	-4	0.23558
FM6	-2	0.226666
FM6	0	0.22361
FM6	2	0.226414
FM6	4	0.235076
FM6	6	0.249598
FM6	8	0.269979
FM6	10	0.296219
FM6	12	0.328318
FM6	14	0.366277
FM6	16	0.410094
FM6	18	0.459771
FM6	20	0.515306
FM6	22	0.576701
FM6	24	0.643955
FM6	26	0.717069
FM6	28	0.796041
FM6	30	0.880872
FM6	32	0.971563
FM6	34	1.06811
FM6	36	1.17052
FM6	38	1.27879
FM6	40	1.39292
FM6	42	1.5129
FM6	44	1.63875
FM6	46	1.77045
FM6	48	1.90802
FM6	50	2.05144
FM6	52	2.20072
FM6	54	2.35586
FM6	56	2.51686
FM6	58	2.68372
FM6	60	2.85644
FM6	62	3.03502
FM6	64	3.21946
FM6	66	3.40975
FM6	68	3.60591
FM6	70	3.80792
FM6	72	4.01579
FM6	74	4.22953
FM6	76	4.44912
FM6	78	4.67457
FM6	80	4.90588
FM6	82	5.14305
FM7	-300	6.22721
FM7	-295	6.02893
FM7	-290	5.83397
FM7	-285	5.64234
FM7	-280	5.45404
FM7	-275	5.26908
FM7	-270	5.08744
FM7	-265	4.90913
FM7	-260	4.73415
FM7	-255	4.5625
FM7	-250	4.39418
FM7	-245	4.22919
FM7	-240	4.06753
FM7	-235	3.9092
FM7	-230	3.7542
FM7	-225	3.60253
FM7	-220	3.45419
FM7	-215	3.30918
FM7	-210	3.1675
FM7	-205	3.02915
FM7	-200	2.89413
FM7	-195	2.76243
FM7	-190	2.63407
FM7	-185	2.50904
FM7	-180	2.38734
FM7	-175	2.26896
FM7	-170	2.15392
FM7	-165	2.0422
FM7	-160	1.93382
FM7	-155	1.82877
FM7	-150	1.72704
FM7	-145	1.62865
FM7	-140	1.53358
FM7	-135	1.44184
FM7	-130	1.35344
FM7	-125	1.26836
FM7	-120	1.18662
FM7	-115	1.1082
FM7	-110	1.03311
FM7	-105	0.961354
FM7	-100	0.892926
FM7	-95	0.827828
FM7	-90	0.76606
FM7	-85	0.707621
FM7	-80	0.652512
FM7	-75	0.600733
FM7	-70	0.552283
FM7	-65	0.507164
FM7	-60	0.465374
FM7	-55	0.426913
FM7	-50	0.391783
FM7	-45	0.359982
FM7	-40	0.33151
FM7	-35	0.306369
FM7	-30	0.284557
FM7	-25	0.266075
FM7	-20	0.250922
FM7	-15	0.2391
FM7	-10	0.230607
FM7	-5	0.225444
FM7	0	0.22361
FM7	5	0.225106
FM7	10	0.229932
FM7	15	0.238088
FM7	20	0.249573
FM7	25	0.264388
FM7	30	0.282533
FM7	35	0.304007
FM7	40	0.328811
FM7	45	0.356945
FM7	50	0.388409
FM7	55	0.423202
FM7	60	0.461325
FM7	65	0.502778
FM7	70	0.54756
FM7	75	0.595672
FM7	80	0.647114
FM7	85	0.701885
FM7	90	0.759987
FM7	95	0.821418
FM7	100	0.886178
FM7	105	0.954269
FM7	110	1.02569
FM7	115	1.10044
FM7	120	1.17852
FM7	125	1.25993
FM7	130	1.34467
FM7	135	1.43273
FM7	140	1.52413
FM7	145	1.61886
FM7	150	1.71692
FM7	155	1.81831
FM7	160	1.92302
FM7	165	2.03107
FM7	170	2.14245
FM7	175	2.25715
FM7	180	2.37519
FM7	185	2.49656
FM7	190	2.62125
FM7	195	2.74928
FM7	200	2.88063
FM7	205	3.01532
FM7	210	3.15333
FM7	215	3.29467
FM7	220	3.43935
FM7	225	3.58735
FM7	230	3.73868
FM7	235	3.89335
FM7	240	4.05134
FM7	245	4.21266
FM7	250	4.37731
FM7	255	4.5453
FM7	260	4.71661
FM7	265	4.89125
FM7	270	5.06922
FM7	275	5.25052
FM7	280	5.43515
FM7	285	5.62311
FM7	290	5.8144
FM7	295	6.00902
FM7	300	6.20697
FT0	-6.8	5.40565
FT0	-6.6	5.10429
FT0	-6.4	4.81196
FT0	-6.2	4.52866
FT0	-6	4.25438
FT0	-5.8	3.98913
FT0	-5.6	3.7329
FT0	-5.4	3.48571
FT0	-5.2	3.24754
FT0	-5	3.01839
FT0	-4.8	2.79828
FT0	-4.6	2.58719
FT0	-4.4	2.38513
FT0	-4.2	2.19209
FT0	-4	2.00808
FT0	-3.8	1.8331
FT0	-3.6	1.66715
FT0	-3.4	1.51022
FT0	-3.2	1.36232
FT0	-3	1.22345
FT0	-2.8	1.09361
FT0	-2.6	0.972787
FT0	-2.4	0.860996
FT0	-2.2	0.758231
FT0	-2	0.664494
FT0	-1.8	0.579784
FT0	-1.6	0.504101
FT0	-1.4	0.437445
FT0	-1.2	0.379816
FT0	-1	0.331214
FT0	-0.8	0.291639
FT0	-0.6	0.261091
FT0	-0.4	0.23957
FT0	-0.2	0.227077
FT0	0	0.22361
FT0	0.2	0.22917
FT0	0.4	0.243758
FT0	0.6	0.267372
FT0	0.8	0.300014
FT0	1	0.341682
FT0	1.2	0.392378
FT0	1.4	0.452101
FT0	1.6	0.52085
FT0	1.8	0.598627
FT0	2	0.685431
FT0	2.2	0.781262
FT0	2.4	0.88612
FT0	2.6	1
FT0	2.8	1.12292
FT0	3	1.25486
FT0	3.2	1.39582
FT0	3.4	1.54582
FT0	3.6	1.70484
FT0	3.8	1.87288
FT0	4	2.04996
FT0	4.2	2.23606
FT0	4.4	2.43119
FT0	4.6	2.63534
FT0	4.8	2.84853
FT0	5	3.07074
FT0	5.2	3.30197
FT0	5.4	3.54224
FT0	5.6	3.79153
FT0	5.8	4.04984
FT0	6	4.31719
FT0	6.2	4.59356
FT0	6.4	4.87896
FT0	6.6	5.17339
FT0	6.8	5.47684
FT1	-12.5	6.14645
FT1	-12	5.68124
FT1	-11.5	5.23506
FT1	-11	4.8079
FT1	-10.5	4.39976
FT1	-10	4.01065
FT1	-9.5	3.64056
FT1	-9	3.2895
FT1	-8.5	2.95747
FT1	-8	2.64445
FT1	-7.5	2.35047
FT1	-7	2.0755
FT1	-6.5	1.81956
FT1	-6	1.58265
FT1	-5.5	1.36476
FT1	-5	1.1659
FT1	-4.5	0.986058
FT1	-4	0.825243
FT1	-3.5	0.683452
FT1	-3	0.560687
FT1	-2.5	0.456946
FT1	-2	0.372229
FT1	-1.5	0.306537
FT1	-1	0.25987
FT1	-0.5	0.232228
FT1	0	0.22361
FT1	0.5	0.234017
FT1	1	0.263448
FT1	1.5	0.311904
FT1	2	0.379385
FT1	2.5	0.465891
FT1	3	0.571421
FT1	3.5	0.695975
FT1	4	0.839555
FT1	4.5	1.00216
FT1	5	1.18379
FT1	5.5	1.38444
FT1	6	1.60412
FT1	6.5	1.84282
FT1	7	2.10055
FT1	7.5	2.3773
FT1	8	2.67308
FT1	8.5	2.98788
FT1	9	3.3217
FT1	9.5	3.67455
FT1	10	4.04643
FT1	10.5	4.43733
FT1	11	4.84725
FT1	11.5	5.2762
FT1	12	5.72418
FT1	12.5	6.19118
FT2	-20.5	5.5573
FT2	-20	5.29925
FT2	-19.5	5.0476
FT2	-19	4.80235
FT2	-18.5	4.5635
FT2	-18	4.33104
FT2	-17.5	4.10498
FT2	-17	3.88532
FT2	-16.5	3.67206
FT2	-16	3.46519
FT2	-15.5	3.26473
FT2	-15	3.07066
FT2	-14.5	2.88299
FT2	-14	2.70172
FT2	-13.5	2.52684
FT2	-13	2.35836
FT2	-12.5	2.19628
FT2	-12	2.0406
FT2	-11.5	1.89132
FT2	-11	1.74843
FT2	-10.5	1.61195
FT2	-10	1.48186
FT2	-9.5	1.35816
FT2	-9	1.24087
FT2	-8.5	1.12997
FT2	-8	1.02548
FT2	-7.5	0.927375
FT2	-7	0.835672
FT2	-6.5	0.750367
FT2	-6	0.67146
FT2	-5.5	0.598951
FT2	-5	0.53284
FT2	-4.5	0.473126
FT2	-4	0.419811
FT2	-3.5	0.372893
FT2	-3	0.332373
FT2	-2.5	0.298252
FT2	-2	0.270527
FT2	-1.5	0.249201
FT2	-1	0.234273
FT2	-0.5	0.225743
FT2	0	0.22361
FT2	0.5	0.227875
FT2	1	0.238538
FT2	1.5	0.2556
FT2	2	0.279058
FT2	2.5	0.308915
FT2	3	0.34517
FT2	3.5	0.387822
FT2	4	0.436873
FT2	4.5	0.492321
FT2	5	0.554167
FT2	5.5	0.622411
FT2	6	0.697053
FT2	6.5	0.778093
FT2	7	0.86553
FT2	7.5	0.959366
FT2	8	1.0596
FT2	8.5	1.16623
FT2	9	1.27926
FT2	9.5	1.39869
FT2	10	1.52451
FT2	10.5	1.65673
FT2	11	1.79535
FT2	11.5	1.94037
FT2	12	2.09179
FT2	12.5	2.2496
FT2	13	2.41382
FT2	13.5	2.58443
FT2	14	2.76143
FT2	14.5	2.94484
FT2	15	3.13464
FT2	15.5	3.33084
FT2	16	3.53344
FT2	16.5	3.74244
FT2	17	3.95783
FT2	17.5	4.17963
FT2	18	4.40782
FT2	18.5	4.64241
FT2	19	4.88339
FT2	19.5	5.13078
FT2	20	5.38456
FT2	20.5	5.64474
