#aQGC_ParName	ParaValue	Cross-section
FS0	-900	8.0794
FS0	-880	7.72514
FS0	-860	7.37885
FS0	-840	7.04051
FS0	-820	6.71013
FS0	-800	6.38772
FS0	-780	6.07326
FS0	-760	5.76677
FS0	-740	5.46823
FS0	-720	5.17765
FS0	-700	4.89504
FS0	-680	4.62038
FS0	-660	4.35368
FS0	-640	4.09495
FS0	-620	3.84417
FS0	-600	3.60135
FS0	-580	3.3665
FS0	-560	3.1396
FS0	-540	2.92067
FS0	-520	2.70969
FS0	-500	2.50667
FS0	-480	2.31162
FS0	-460	2.12452
FS0	-440	1.94538
FS0	-420	1.77421
FS0	-400	1.61099
FS0	-380	1.45574
FS0	-360	1.30844
FS0	-340	1.1691
FS0	-320	1.03773
FS0	-300	0.914312
FS0	-280	0.798856
FS0	-260	0.691359
FS0	-240	0.591823
FS0	-220	0.500247
FS0	-200	0.416631
FS0	-180	0.340975
FS0	-160	0.273279
FS0	-140	0.213543
FS0	-120	0.161767
FS0	-100	0.117951
FS0	-80	0.0820948
FS0	-60	0.0541988
FS0	-40	0.0342628
FS0	-20	0.0222868
FS0	0	0.0182708
FS0	20	0.0222148
FS0	40	0.0341188
FS0	60	0.0539829
FS0	80	0.0818069
FS0	100	0.117591
FS0	120	0.161335
FS0	140	0.213039
FS0	160	0.272703
FS0	180	0.340327
FS0	200	0.415911
FS0	220	0.499456
FS0	240	0.59096
FS0	260	0.690424
FS0	280	0.797848
FS0	300	0.913232
FS0	320	1.03658
FS0	340	1.16788
FS0	360	1.30714
FS0	380	1.45437
FS0	400	1.60955
FS0	420	1.7727
FS0	440	1.9438
FS0	460	2.12287
FS0	480	2.30989
FS0	500	2.50487
FS0	520	2.70782
FS0	540	2.91872
FS0	560	3.13759
FS0	580	3.36441
FS0	600	3.5992
FS0	620	3.84194
FS0	640	4.09264
FS0	660	4.35131
FS0	680	4.61793
FS0	700	4.89252
FS0	720	5.17506
FS0	740	5.46557
FS0	760	5.76403
FS0	780	6.07045
FS0	800	6.38484
FS0	820	6.70718
FS0	840	7.03749
FS0	860	7.37575
FS0	880	7.72198
FS0	900	8.07616
FS1	-330	0.246304
FS1	-320	0.232705
FS1	-310	0.219524
FS1	-300	0.206762
FS1	-290	0.194417
FS1	-280	0.18249
FS1	-270	0.170982
FS1	-260	0.159891
FS1	-250	0.149219
FS1	-240	0.138965
FS1	-230	0.129128
FS1	-220	0.11971
FS1	-210	0.11071
FS1	-200	0.102127
FS1	-190	0.0939631
FS1	-180	0.0862169
FS1	-170	0.0788888
FS1	-160	0.0719787
FS1	-150	0.0654866
FS1	-140	0.0594126
FS1	-130	0.0537567
FS1	-120	0.0485187
FS1	-110	0.0436989
FS1	-100	0.039297
FS1	-90	0.0353132
FS1	-80	0.0317474
FS1	-70	0.0285997
FS1	-60	0.02587
FS1	-50	0.0235584
FS1	-40	0.0216648
FS1	-30	0.0201892
FS1	-20	0.0191317
FS1	-10	0.0184922
FS1	0	0.0182708
FS1	10	0.0184674
FS1	20	0.019082
FS1	30	0.0201147
FS1	40	0.0215655
FS1	50	0.0234342
FS1	60	0.025721
FS1	70	0.0284259
FS1	80	0.0315488
FS1	90	0.0350897
FS1	100	0.0390487
FS1	110	0.0434257
FS1	120	0.0482207
FS1	130	0.0534338
FS1	140	0.059065
FS1	150	0.0651141
FS1	160	0.0715814
FS1	170	0.0784666
FS1	180	0.0857699
FS1	190	0.0934912
FS1	200	0.101631
FS1	210	0.110188
FS1	220	0.119164
FS1	230	0.128557
FS1	240	0.138369
FS1	250	0.148598
FS1	260	0.159246
FS1	270	0.170311
FS1	280	0.181795
FS1	290	0.193697
FS1	300	0.206017
FS1	310	0.218754
FS1	320	0.23191
FS1	330	0.245484
FM0	-42	0.0921179
FM0	-41	0.0886291
FM0	-40	0.0852248
FM0	-39	0.0819048
FM0	-38	0.0786693
FM0	-37	0.0755182
FM0	-36	0.0724515
FM0	-35	0.0694692
FM0	-34	0.0665714
FM0	-33	0.0637579
FM0	-32	0.0610289
FM0	-31	0.0583843
FM0	-30	0.0558241
FM0	-29	0.0533483
FM0	-28	0.0509569
FM0	-27	0.0486499
FM0	-26	0.0464274
FM0	-25	0.0442893
FM0	-24	0.0422355
FM0	-23	0.0402662
FM0	-22	0.0383814
FM0	-21	0.0365809
FM0	-20	0.0348648
FM0	-19	0.0332332
FM0	-18	0.031686
FM0	-17	0.0302231
FM0	-16	0.0288448
FM0	-15	0.0275508
FM0	-14	0.0263412
FM0	-13	0.025216
FM0	-12	0.0241753
FM0	-11	0.023219
FM0	-10	0.0223471
FM0	-9	0.0215596
FM0	-8	0.0208565
FM0	-7	0.0202378
FM0	-6	0.0197036
FM0	-5	0.0192538
FM0	-4	0.0188883
FM0	-3	0.0186073
FM0	-2	0.0184107
FM0	-1	0.0182986
