#aQGC_ParName	ParaValue	Cross-section
FS0	-900	16.2621
FS0	-880	15.5569
FS0	-860	14.8677
FS0	-840	14.1943
FS0	-820	13.5367
FS0	-800	12.895
FS0	-780	12.2691
FS0	-760	11.6591
FS0	-740	11.0649
FS0	-720	10.4866
FS0	-700	9.9241
FS0	-680	9.37748
FS0	-660	8.8467
FS0	-640	8.33177
FS0	-620	7.83269
FS0	-600	7.34946
FS0	-580	6.88207
FS0	-560	6.43054
FS0	-540	5.99485
FS0	-520	5.57502
FS0	-500	5.17103
FS0	-480	4.78289
FS0	-460	4.4106
FS0	-440	4.05416
FS0	-420	3.71357
FS0	-400	3.38882
FS0	-380	3.07993
FS0	-360	2.78688
FS0	-340	2.50968
FS0	-320	2.24834
FS0	-300	2.00284
FS0	-280	1.77318
FS0	-260	1.55938
FS0	-240	1.36143
FS0	-220	1.17932
FS0	-200	1.01307
FS0	-180	0.86266
FS0	-160	0.728102
FS0	-140	0.609392
FS0	-120	0.506531
FS0	-100	0.419519
FS0	-80	0.348356
FS0	-60	0.293041
FS0	-40	0.253576
FS0	-20	0.229959
FS0	0	0.222191
FS0	20	0.230271
FS0	40	0.254201
FS0	60	0.293979
FS0	80	0.349606
FS0	100	0.421082
FS0	120	0.508406
FS0	140	0.611579
FS0	160	0.730602
FS0	180	0.865472
FS0	200	1.01619
FS0	220	1.18276
FS0	240	1.36518
FS0	260	1.56344
FS0	280	1.77756
FS0	300	2.00752
FS0	320	2.25333
FS0	340	2.515
FS0	360	2.79251
FS0	380	3.08586
FS0	400	3.39507
FS0	420	3.72013
FS0	440	4.06103
FS0	460	4.41779
FS0	480	4.79039
FS0	500	5.17884
FS0	520	5.58314
FS0	540	6.00329
FS0	560	6.43929
FS0	580	6.89114
FS0	600	7.35883
FS0	620	7.84237
FS0	640	8.34177
FS0	660	8.85701
FS0	680	9.3881
FS0	700	9.93504
FS0	720	10.4978
FS0	740	11.0765
FS0	760	11.671
FS0	780	12.2813
FS0	800	12.9075
FS0	820	13.5495
FS0	840	14.2074
FS0	860	14.8811
FS0	880	15.5707
FS0	900	16.2761
FS1	-330	5.89656
FS1	-320	5.5578
FS1	-310	5.22946
FS1	-300	4.91154
FS1	-290	4.60405
FS1	-280	4.30699
FS1	-270	4.02035
FS1	-260	3.74414
FS1	-250	3.47836
FS1	-240	3.223
FS1	-230	2.97806
FS1	-220	2.74356
FS1	-210	2.51948
FS1	-200	2.30582
FS1	-190	2.10259
FS1	-180	1.90979
FS1	-170	1.72741
FS1	-160	1.55546
FS1	-150	1.39394
FS1	-140	1.24284
FS1	-130	1.10217
FS1	-120	0.97192
FS1	-110	0.8521
FS1	-100	0.742705
FS1	-90	0.643736
FS1	-80	0.555194
FS1	-70	0.477077
FS1	-60	0.409387
FS1	-50	0.352122
FS1	-40	0.305284
FS1	-30	0.268872
FS1	-20	0.242885
FS1	-10	0.227325
FS1	0	0.222191
FS1	10	0.227482
FS1	20	0.2432
FS1	30	0.269344
FS1	40	0.305913
FS1	50	0.352909
FS1	60	0.410331
FS1	70	0.478179
FS1	80	0.556453
FS1	90	0.645153
FS1	100	0.744278
FS1	110	0.85383
FS1	120	0.973808
FS1	130	1.10421
FS1	140	1.24504
FS1	150	1.3963
FS1	160	1.55798
FS1	170	1.73009
FS1	180	1.91262
FS1	190	2.10558
FS1	200	2.30897
FS1	210	2.52278
FS1	220	2.74702
FS1	230	2.98168
FS1	240	3.22677
FS1	250	3.48229
FS1	260	3.74823
FS1	270	4.0246
FS1	280	4.31139
FS1	290	4.60862
FS1	300	4.91626
FS1	310	5.23433
FS1	320	5.56283
FS1	330	5.90176
FM0	-42	5.4047
FM0	-41	5.16097
FM0	-40	4.92312
FM0	-39	4.69113
FM0	-38	4.46502
FM0	-37	4.24477
FM0	-36	4.0304
FM0	-35	3.82189
FM0	-34	3.61925
FM0	-33	3.42249
FM0	-32	3.23159
FM0	-31	3.04657
FM0	-30	2.86741
FM0	-29	2.69412
FM0	-28	2.52671
FM0	-27	2.36516
FM0	-26	2.20948
FM0	-25	2.05967
FM0	-24	1.91574
FM0	-23	1.77767
FM0	-22	1.64547
FM0	-21	1.51914
FM0	-20	1.39868
FM0	-19	1.2841
FM0	-18	1.17538
FM0	-17	1.07253
FM0	-16	0.975551
FM0	-15	0.884442
FM0	-14	0.799203
FM0	-13	0.719834
FM0	-12	0.646334
FM0	-11	0.578705
FM0	-10	0.516945
FM0	-9	0.461055
FM0	-8	0.411035
FM0	-7	0.366885
FM0	-6	0.328605
FM0	-5	0.296195
FM0	-4	0.269654
FM0	-3	0.248983
FM0	-2	0.234183
FM0	-1	0.225252
FM0	0	0.222191
FM0	1	0.224999
FM0	2	0.233678
FM0	3	0.248226
FM0	4	0.268644
FM0	5	0.294932
FM0	6	0.32709
FM0	7	0.365118
FM0	8	0.409016
FM0	9	0.458783
FM0	10	0.514421
FM0	11	0.575928
FM0	12	0.643305
FM0	13	0.716552
FM0	14	0.795668
FM0	15	0.880655
FM0	16	0.971511
FM0	17	1.06824
FM0	18	1.17083
FM0	19	1.2793
FM0	20	1.39364
FM0	21	1.51384
FM0	22	1.63992
FM0	23	1.77186
FM0	24	1.90968
FM0	25	2.05336
FM0	26	2.20292
FM0	27	2.35834
FM0	28	2.51964
FM0	29	2.6868
FM0	30	2.85984
FM0	31	3.03874
FM0	32	3.22351
FM0	33	3.41416
FM0	34	3.61067
FM0	35	3.81305
FM0	36	4.02131
FM0	37	4.23543
FM0	38	4.45542
FM0	39	4.68129
FM0	40	4.91302
FM0	41	5.15062
FM0	42	5.3941
FM1	-165	6.10314
FM1	-160	5.75184
FM1	-155	5.41137
FM1	-150	5.08171
FM1	-145	4.76286
FM1	-140	4.45484
FM1	-135	4.15763
FM1	-130	3.87124
FM1	-125	3.59567
FM1	-120	3.33092
FM1	-115	3.07698
FM1	-110	2.83386
FM1	-105	2.60156
FM1	-100	2.38008
FM1	-95	2.16942
FM1	-90	1.96957
FM1	-85	1.78054
FM1	-80	1.60233
FM1	-75	1.43494
FM1	-70	1.27836
FM1	-65	1.13261
FM1	-60	0.997668
FM1	-55	0.873547
FM1	-50	0.760244
FM1	-45	0.657758
FM1	-40	0.56609
FM1	-35	0.48524
FM1	-30	0.415208
FM1	-25	0.355994
FM1	-20	0.307597
FM1	-15	0.270019
FM1	-10	0.243258
FM1	-5	0.227315
FM1	0	0.222191
FM1	5	0.227883
FM1	10	0.244394
FM1	15	0.271723
FM1	20	0.309869
FM1	25	0.358834
FM1	30	0.418616
FM1	35	0.489216
FM1	40	0.570634
FM1	45	0.662869
FM1	50	0.765923
FM1	55	0.879794
FM1	60	1.00448
FM1	65	1.13999
FM1	70	1.28632
FM1	75	1.44346
FM1	80	1.61142
FM1	85	1.7902
FM1	90	1.97979
FM1	95	2.18021
FM1	100	2.39144
FM1	105	2.61349
FM1	110	2.84636
FM1	115	3.09004
FM1	120	3.34455
FM1	125	3.60987
FM1	130	3.88601
FM1	135	4.17297
FM1	140	4.47074
FM1	145	4.77933
FM1	150	5.09874
FM1	155	5.42897
FM1	160	5.77002
FM1	165	6.12188
FM6	-84	5.4047
FM6	-82	5.16097
FM6	-80	4.92312
FM6	-78	4.69113
FM6	-76	4.46502
FM6	-74	4.24477
FM6	-72	4.0304
FM6	-70	3.82189
FM6	-68	3.61925
FM6	-66	3.42249
FM6	-64	3.23159
FM6	-62	3.04657
FM6	-60	2.86741
FM6	-58	2.69412
FM6	-56	2.52671
FM6	-54	2.36516
FM6	-52	2.20948
FM6	-50	2.05967
FM6	-48	1.91574
FM6	-46	1.77767
FM6	-44	1.64547
FM6	-42	1.51914
FM6	-40	1.39868
FM6	-38	1.2841
FM6	-36	1.17538
FM6	-34	1.07253
FM6	-32	0.975551
FM6	-30	0.884442
FM6	-28	0.799203
FM6	-26	0.719834
FM6	-24	0.646334
FM6	-22	0.578705
FM6	-20	0.516945
FM6	-18	0.461055
FM6	-16	0.411035
FM6	-14	0.366885
FM6	-12	0.328605
FM6	-10	0.296195
FM6	-8	0.269654
FM6	-6	0.248983
FM6	-4	0.234183
FM6	-2	0.225252
FM6	0	0.222191
FM6	2	0.224999
FM6	4	0.233678
FM6	6	0.248226
FM6	8	0.268644
FM6	10	0.294932
FM6	12	0.32709
FM6	14	0.365118
FM6	16	0.409016
FM6	18	0.458783
FM6	20	0.514421
FM6	22	0.575928
FM6	24	0.643305
FM6	26	0.716552
FM6	28	0.795668
FM6	30	0.880655
FM6	32	0.971511
FM6	34	1.06824
FM6	36	1.17083
FM6	38	1.2793
FM6	40	1.39364
FM6	42	1.51384
FM6	44	1.63992
FM6	46	1.77186
FM6	48	1.90968
FM6	50	2.05336
FM6	52	2.20292
FM6	54	2.35834
FM6	56	2.51964
FM6	58	2.6868
FM6	60	2.85984
FM6	62	3.03874
FM6	64	3.22351
FM6	66	3.41416
FM6	68	3.61067
FM6	70	3.81305
FM6	72	4.02131
FM6	74	4.23543
FM6	76	4.45542
FM6	78	4.68129
FM6	80	4.91302
FM6	82	5.15062
FM7	-300	6.25718
FM7	-295	6.05785
FM7	-290	5.86188
FM7	-285	5.66925
FM7	-280	5.47996
FM7	-275	5.29403
FM7	-270	5.11144
FM7	-265	4.9322
FM7	-260	4.75631
FM7	-255	4.58376
FM7	-250	4.41456
FM7	-245	4.24871
FM7	-240	4.0862
FM7	-235	3.92704
FM7	-230	3.77123
FM7	-225	3.61877
FM7	-220	3.46965
FM7	-215	3.32388
FM7	-210	3.18146
FM7	-205	3.04239
FM7	-200	2.90666
FM7	-195	2.77428
FM7	-190	2.64524
FM7	-185	2.51956
FM7	-180	2.39722
FM7	-175	2.27822
FM7	-170	2.16258
FM7	-165	2.05028
FM7	-160	1.94133
FM7	-155	1.83573
FM7	-150	1.73347
FM7	-145	1.63456
FM7	-140	1.539
FM7	-135	1.44678
FM7	-130	1.35791
FM7	-125	1.27239
FM7	-120	1.19022
FM7	-115	1.11139
FM7	-110	1.03591
FM7	-105	0.963781
FM7	-100	0.894996
FM7	-95	0.829558
FM7	-90	0.767467
FM7	-85	0.708723
FM7	-80	0.653326
FM7	-75	0.601277
FM7	-70	0.552574
FM7	-65	0.507219
FM7	-60	0.465211
FM7	-55	0.42655
FM7	-50	0.391236
FM7	-45	0.359269
FM7	-40	0.33065
FM7	-35	0.305377
FM7	-30	0.283452
FM7	-25	0.264874
FM7	-20	0.249643
FM7	-15	0.237759
FM7	-10	0.229222
FM7	-5	0.224033
FM7	0	0.222191
FM7	5	0.223695
FM7	10	0.228547
FM7	15	0.236746
FM7	20	0.248292
FM7	25	0.263186
FM7	30	0.281426
FM7	35	0.303014
FM7	40	0.327948
FM7	45	0.35623
FM7	50	0.387859
FM7	55	0.422835
FM7	60	0.461159
FM7	65	0.502829
FM7	70	0.547847
FM7	75	0.596212
FM7	80	0.647923
FM7	85	0.702982
FM7	90	0.761389
FM7	95	0.823142
FM7	100	0.888242
FM7	105	0.95669
FM7	110	1.02848
FM7	115	1.10363
FM7	120	1.18212
FM7	125	1.26395
FM7	130	1.34914
FM7	135	1.43767
FM7	140	1.52954
FM7	145	1.62477
FM7	150	1.72334
FM7	155	1.82526
FM7	160	1.93052
FM7	165	2.03914
FM7	170	2.1511
FM7	175	2.26641
FM7	180	2.38506
FM7	185	2.50706
FM7	190	2.63241
FM7	195	2.76111
FM7	200	2.89315
FM7	205	3.02854
FM7	210	3.16728
FM7	215	3.30936
FM7	220	3.4548
FM7	225	3.60357
FM7	230	3.7557
FM7	235	3.91117
FM7	240	4.06999
FM7	245	4.23216
FM7	250	4.39768
FM7	255	4.56654
FM7	260	4.73875
FM7	265	4.9143
FM7	270	5.09321
FM7	275	5.27546
FM7	280	5.46106
FM7	285	5.65
FM7	290	5.84229
FM7	295	6.03793
FM7	300	6.23692
FT0	-6.8	5.41081
FT0	-6.6	5.10907
FT0	-6.4	4.81638
FT0	-6.2	4.53272
FT0	-6	4.25809
FT0	-5.8	3.99251
FT0	-5.6	3.73597
FT0	-5.4	3.48846
FT0	-5.2	3.24999
FT0	-5	3.02056
FT0	-4.8	2.80017
FT0	-4.6	2.58881
FT0	-4.4	2.38649
FT0	-4.2	2.19322
FT0	-4	2.00898
FT0	-3.8	1.83377
FT0	-3.6	1.66761
FT0	-3.4	1.51049
FT0	-3.2	1.3624
FT0	-3	1.22335
FT0	-2.8	1.09334
FT0	-2.6	0.972365
FT0	-2.4	0.86043
FT0	-2.2	0.757534
FT0	-2	0.663675
FT0	-1.8	0.578855
FT0	-1.6	0.503073
FT0	-1.4	0.436329
FT0	-1.2	0.378623
FT0	-1	0.329956
FT0	-0.8	0.290326
FT0	-0.6	0.259735
FT0	-0.4	0.238182
FT0	-0.2	0.225667
FT0	0	0.222191
FT0	0.2	0.227752
FT0	0.4	0.242352
FT0	0.6	0.265989
FT0	0.8	0.298665
FT0	1	0.340379
FT0	1.2	0.391132
FT0	1.4	0.450922
FT0	1.6	0.51975
FT0	1.8	0.597617
FT0	2	0.684522
FT0	2.2	0.780465
FT0	2.4	0.885446
FT0	2.6	0.999466
FT0	2.8	1.12252
FT0	3	1.25462
FT0	3.2	1.39575
FT0	3.4	1.54592
FT0	3.6	1.70514
FT0	3.8	1.87338
FT0	4	2.05067
FT0	4.2	2.23699
FT0	4.4	2.43236
FT0	4.6	2.63676
FT0	4.8	2.8502
FT0	5	3.07268
FT0	5.2	3.30419
FT0	5.4	3.54474
FT0	5.6	3.79434
FT0	5.8	4.05297
FT0	6	4.32063
FT0	6.2	4.59734
FT0	6.4	4.88309
FT0	6.6	5.17787
FT0	6.8	5.48169
FT1	-12.5	6.15908
FT1	-12	5.69277
FT1	-11.5	5.24553
FT1	-11	4.81736
FT1	-10.5	4.40825
FT1	-10	4.01822
FT1	-9.5	3.64726
FT1	-9	3.29536
FT1	-8.5	2.96254
FT1	-8	2.64879
FT1	-7.5	2.3541
FT1	-7	2.07849
FT1	-6.5	1.82194
FT1	-6	1.58446
FT1	-5.5	1.36606
FT1	-5	1.16672
FT1	-4.5	0.986455
FT1	-4	0.825258
FT1	-3.5	0.683131
FT1	-3	0.560073
FT1	-2.5	0.456085
FT1	-2	0.371167
FT1	-1.5	0.305318
FT1	-1	0.258539
FT1	-0.5	0.23083
FT1	0	0.222191
FT1	0.5	0.232621
FT1	1	0.26212
FT1	1.5	0.31069
FT1	2	0.378329
FT1	2.5	0.465038
FT1	3	0.570816
FT1	3.5	0.695665
FT1	4	0.839582
FT1	4.5	1.00257
FT1	5	1.18463
FT1	5.5	1.38575
FT1	6	1.60595
FT1	6.5	1.84522
FT1	7	2.10355
FT1	7.5	2.38096
FT1	8	2.67743
FT1	8.5	2.99298
FT1	9	3.32759
FT1	9.5	3.68128
FT1	10	4.05403
FT1	10.5	4.44586
FT1	11	4.85675
FT1	11.5	5.28671
FT1	12	5.73574
FT1	12.5	6.20385
FT2	-20.5	5.56669
FT2	-20	5.30812
FT2	-19.5	5.05597
FT2	-19	4.81022
FT2	-18.5	4.57089
FT2	-18	4.33797
FT2	-17.5	4.11146
FT2	-17	3.89135
FT2	-16.5	3.67766
FT2	-16	3.47038
FT2	-15.5	3.26951
FT2	-15	3.07505
FT2	-14.5	2.887
FT2	-14	2.70537
