#aQGC_ParName	ParaValue	Cross-section
FS0	-900	98.872
FS0	-880	94.5319
FS0	-860	90.2892
FS0	-840	86.1441
FS0	-820	82.0964
FS0	-800	78.1462
FS0	-780	74.2935
FS0	-760	70.5383
FS0	-740	66.8806
FS0	-720	63.3204
FS0	-700	59.8577
FS0	-680	56.4925
FS0	-660	53.2248
FS0	-640	50.0545
FS0	-620	46.9818
FS0	-600	44.0065
FS0	-580	41.1287
FS0	-560	38.3485
FS0	-540	35.6657
FS0	-520	33.0804
FS0	-500	30.5926
FS0	-480	28.2023
FS0	-460	25.9095
FS0	-440	23.7142
FS0	-420	21.6163
FS0	-400	19.616
FS0	-380	17.7131
FS0	-360	15.9078
FS0	-340	14.1999
FS0	-320	12.5895
FS0	-300	11.0767
FS0	-280	9.66126
FS0	-260	8.34336
FS0	-240	7.12296
FS0	-220	6.00004
FS0	-200	4.97462
FS0	-180	4.04669
FS0	-160	3.21625
FS0	-140	2.4833
FS0	-120	1.84784
FS0	-100	1.30988
FS0	-80	0.869406
FS0	-60	0.526425
FS0	-40	0.280936
FS0	-20	0.132938
FS0	0	0.0824319
FS0	20	0.129418
FS0	40	0.273895
FS0	60	0.515865
FS0	80	0.855326
FS0	100	1.29228
FS0	120	1.82672
FS0	140	2.45866
FS0	160	3.18809
FS0	180	4.01501
FS0	200	4.93942
FS0	220	5.96132
FS0	240	7.08072
FS0	260	8.2976
FS0	280	9.61198
FS0	300	11.0239
FS0	320	12.5332
FS0	340	14.1401
FS0	360	15.8444
FS0	380	17.6462
FS0	400	19.5456
FS0	420	21.5424
FS0	440	23.6367
FS0	460	25.8285
FS0	480	28.1178
FS0	500	30.5046
FS0	520	32.9889
FS0	540	35.5706
FS0	560	38.2499
FS0	580	41.0267
FS0	600	43.9009
FS0	620	46.8726
FS0	640	49.9419
FS0	660	53.1086
FS0	680	56.3728
FS0	700	59.7345
FS0	720	63.1937
FS0	740	66.7504
FS0	760	70.4046
FS0	780	74.1563
FS0	800	78.0054
FS0	820	81.9521
FS0	840	85.9962
FS0	860	90.1379
FS0	880	94.377
FS0	900	98.7136
FS1	-330	1.65315
FS1	-320	1.55965
FS1	-310	1.46903
FS1	-300	1.38128
FS1	-290	1.29639
FS1	-280	1.21438
FS1	-270	1.13523
FS1	-260	1.05895
FS1	-250	0.985533
FS1	-240	0.914989
FS1	-230	0.847313
FS1	-220	0.782506
FS1	-210	0.720567
FS1	-200	0.661496
FS1	-190	0.605294
FS1	-180	0.55196
FS1	-170	0.501494
FS1	-160	0.453897
FS1	-150	0.409168
FS1	-140	0.367307
FS1	-130	0.328315
FS1	-120	0.292191
FS1	-110	0.258935
FS1	-100	0.228548
FS1	-90	0.201029
FS1	-80	0.176378
FS1	-70	0.154595
FS1	-60	0.135681
FS1	-50	0.119636
FS1	-40	0.106458
FS1	-30	0.0961492
FS1	-20	0.0887084
FS1	-10	0.084136
FS1	0	0.0824319
FS1	10	0.0835962
FS1	20	0.0876287
FS1	30	0.0945297
FS1	40	0.104299
FS1	50	0.116936
FS1	60	0.132442
FS1	70	0.150817
FS1	80	0.172059
FS1	90	0.19617
FS1	100	0.223149
FS1	110	0.252997
FS1	120	0.285713
FS1	130	0.321297
FS1	140	0.359749
FS1	150	0.40107
FS1	160	0.44526
FS1	170	0.492317
FS1	180	0.542243
FS1	190	0.595037
FS1	200	0.6507
FS1	210	0.709231
FS1	220	0.77063
FS1	230	0.834897
FS1	240	0.902033
FS1	250	0.972037
FS1	260	1.04491
FS1	270	1.12065
FS1	280	1.19926
FS1	290	1.28074
FS1	300	1.36508
FS1	310	1.4523
FS1	320	1.54238
FS1	330	1.63533
FM0	-42	0.4986
FM0	-41	0.478922
FM0	-40	0.45972
FM0	-39	0.440995
FM0	-38	0.422746
FM0	-37	0.404974
FM0	-36	0.387679
FM0	-35	0.37086
FM0	-34	0.354517
FM0	-33	0.338652
FM0	-32	0.323262
FM0	-31	0.30835
FM0	-30	0.293914
FM0	-29	0.279954
FM0	-28	0.266471
FM0	-27	0.253465
FM0	-26	0.240935
FM0	-25	0.228882
FM0	-24	0.217305
FM0	-23	0.206205
FM0	-22	0.195581
FM0	-21	0.185434
FM0	-20	0.175764
FM0	-19	0.16657
FM0	-18	0.157852
FM0	-17	0.149612
FM0	-16	0.141847
FM0	-15	0.13456
FM0	-14	0.127749
FM0	-13	0.121414
FM0	-12	0.115556
FM0	-11	0.110175
FM0	-10	0.10527
FM0	-9	0.100841
FM0	-8	0.0968896
FM0	-7	0.0934145
FM0	-6	0.0904158
FM0	-5	0.0878938
FM0	-4	0.0858483
FM0	-3	0.0842794
FM0	-2	0.083187
FM0	-1	0.0825712
FM0	0	0.0824319
FM0	1	0.0827692
FM0	2	0.0835831
FM0	3	0.0848735
FM0	4	0.0866405
FM0	5	0.0888841
FM0	6	0.0916042
FM0	7	0.0948009
FM0	8	0.0984741
FM0	9	0.102624
FM0	10	0.10725
FM0	11	0.112353
FM0	12	0.117933
FM0	13	0.123989
FM0	14	0.130521
FM0	15	0.137531
FM0	16	0.145016
FM0	17	0.152979
FM0	18	0.161417
FM0	19	0.170333
FM0	20	0.179725
FM0	21	0.189593
FM0	22	0.199938
FM0	23	0.21076
FM0	24	0.222058
FM0	25	0.233833
FM0	26	0.246084
FM0	27	0.258812
FM0	28	0.272017
FM0	29	0.285698
FM0	30	0.299855
FM0	31	0.31449
FM0	32	0.3296
FM0	33	0.345188
FM0	34	0.361251
FM0	35	0.377792
FM0	36	0.394809
FM0	37	0.412302
FM0	38	0.430272
FM0	39	0.448719
FM0	40	0.467642
FM0	41	0.487042
FM0	42	0.506918
FM1	-165	3.10048
FM1	-160	2.92073
FM1	-155	2.7465
FM1	-150	2.57779
FM1	-145	2.4146
FM1	-140	2.25693
FM1	-135	2.10478
FM1	-130	1.95814
FM1	-125	1.81702
FM1	-120	1.68142
FM1	-115	1.55134
FM1	-110	1.42677
FM1	-105	1.30773
FM1	-100	1.1942
FM1	-95	1.08619
FM1	-90	0.983696
FM1	-85	0.886722
FM1	-80	0.795266
FM1	-75	0.709328
FM1	-70	0.628909
FM1	-65	0.554007
FM1	-60	0.484623
FM1	-55	0.420758
FM1	-50	0.362411
FM1	-45	0.309581
FM1	-40	0.26227
FM1	-35	0.220477
FM1	-30	0.184202
FM1	-25	0.153445
FM1	-20	0.128206
FM1	-15	0.108486
FM1	-10	0.094283
FM1	-5	0.0855984
FM1	0	0.0824319
FM1	5	0.0847835
FM1	10	0.0926532
FM1	15	0.106041
FM1	20	0.124947
FM1	25	0.149371
FM1	30	0.179313
FM1	35	0.214773
FM1	40	0.255751
FM1	45	0.302248
FM1	50	0.354262
FM1	55	0.411795
FM1	60	0.474845
FM1	65	0.543414
FM1	70	0.617501
FM1	75	0.697105
FM1	80	0.782228
FM1	85	0.872869
FM1	90	0.969028
FM1	95	1.07071
FM1	100	1.1779
FM1	105	1.29061
FM1	110	1.40885
FM1	115	1.5326
FM1	120	1.66186
FM1	125	1.79665
FM1	130	1.93695
FM1	135	2.08277
FM1	140	2.23411
FM1	145	2.39097
FM1	150	2.55335
FM1	155	2.72124
FM1	160	2.89466
FM1	165	3.07359
FM6	-84	0.4986
FM6	-82	0.478922
FM6	-80	0.45972
FM6	-78	0.440995
FM6	-76	0.422746
FM6	-74	0.404974
FM6	-72	0.387679
