#aQGC_ParName	ParaValue	Cross-section
FS0	-900	10.6538
FS0	-880	10.1883
FS0	-860	9.73333
FS0	-840	9.28877
FS0	-820	8.85466
FS0	-800	8.43102
FS0	-780	8.01782
FS0	-760	7.61509
FS0	-740	7.22281
FS0	-720	6.84098
FS0	-700	6.46961
FS0	-680	6.1087
FS0	-660	5.75824
FS0	-640	5.41824
FS0	-620	5.0887
FS0	-600	4.76961
FS0	-580	4.46098
FS0	-560	4.1628
FS0	-540	3.87508
FS0	-520	3.59781
FS0	-500	3.331
FS0	-480	3.07465
FS0	-460	2.82875
FS0	-440	2.59331
FS0	-420	2.36832
FS0	-400	2.15379
FS0	-380	1.94972
FS0	-360	1.7561
FS0	-340	1.57294
FS0	-320	1.40023
FS0	-300	1.23798
FS0	-280	1.08618
FS0	-260	0.944845
FS0	-240	0.813962
FS0	-220	0.693535
FS0	-200	0.583564
FS0	-180	0.484048
FS0	-160	0.394988
FS0	-140	0.316385
FS0	-120	0.248237
FS0	-100	0.190545
FS0	-80	0.143309
FS0	-60	0.106528
FS0	-40	0.0802039
FS0	-20	0.0643354
FS0	0	0.0589228
FS0	20	0.0639661
FS0	40	0.0794652
FS0	60	0.10542
FS0	80	0.141831
FS0	100	0.188698
FS0	120	0.246021
FS0	140	0.313799
FS0	160	0.392034
FS0	180	0.480724
FS0	200	0.57987
FS0	220	0.689472
FS0	240	0.80953
FS0	260	0.940044
FS0	280	1.08101
FS0	300	1.23244
FS0	320	1.39432
FS0	340	1.56666
FS0	360	1.74945
FS0	380	1.9427
FS0	400	2.14641
FS0	420	2.36057
FS0	440	2.58518
FS0	460	2.82026
FS0	480	3.06579
FS0	500	3.32177
FS0	520	3.58821
FS0	540	3.86511
FS0	560	4.15246
FS0	580	4.45027
FS0	600	4.75853
FS0	620	5.07725
FS0	640	5.40643
FS0	660	5.74606
FS0	680	6.09614
FS0	700	6.45669
FS0	720	6.82769
FS0	740	7.20914
FS0	760	7.60105
FS0	780	8.00342
FS0	800	8.41624
FS0	820	8.83952
FS0	840	9.27326
FS0	860	9.71745
FS0	880	10.1721
FS0	900	10.6372
FS1	-330	0.787322
FS1	-320	0.743891
FS1	-310	0.701796
FS1	-300	0.661035
FS1	-290	0.621609
FS1	-280	0.583518
FS1	-270	0.546762
FS1	-260	0.511341
FS1	-250	0.477255
FS1	-240	0.444503
